Солнце; sun
Лес; forest
Океан; ocean
Книга; book
Река; river
Гора; mountain
Звезда; star
Цветок; flower
Луна; moon
Дождь; rain
Дерево; tree
Дом; house
Огонь; fire
Море; sea
Небо; sky
Снег; snow
Песня; song
Птица; bird
Кот; cat
Собака; dog
Лист; leaf
Ветер; wind
Город; city
Камень; stone
Мост; bridge
Солнечный день; sunny day
Оживлённая улица; busy street
Прекрасный сад; lovely garden
Тихое место; quiet place
Вкусная еда; tasty food
Старая книга; old book
Высокая гора; tall mountain
Шумный город; noisy city
Чистая река; clean river
Большой дом; big house
Уютная комната; cozy room
Свежий ветер; fresh wind
Весёлая песня; happy song
Красивый цветок; beautiful flower
Яркая звезда; bright star
Тёплый огонь; warm fire
Белый снег; white snow
Синее небо; blue sky
Быстрый поезд; fast train
Весенняя погода; spring weather
Красивая птица; beautiful bird
Старая лестница; old stairs
Длинный мост; long bridge
Вечерний закат; evening sunset
Горячий чай; hot tea
